"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Humans",1984,0,"Sprat",3,42672.9
"Humans",1985,0,"Sprat",3,58747.8
"Humans",1986,0,"Sprat",3,66524
"Humans",1987,0,"Sprat",3,87800.5
"Humans",1988,0,"Sprat",3,76238.2
"Humans",1989,0,"Sprat",3,45857.6
"Humans",1990,0,"Sprat",3,53839.4
"Humans",1991,0,"Sprat",3,86488.2
"Humans",1992,0,"Sprat",3,208936
"Humans",1993,0,"Sprat",3,131870
"Humans",1994,0,"Sprat",3,264826
"Humans",1995,0,"Sprat",3,278270
"Humans",1996,0,"Sprat",3,418355
"Humans",1997,0,"Sprat",3,511217
"Humans",1998,0,"Sprat",3,469680
"Humans",1999,0,"Sprat",3,415598
"Humans",2000,0,"Sprat",3,388712
"Humans",2001,0,"Sprat",3,339407
"Humans",2002,0,"Sprat",3,331904
"Humans",2003,0,"Sprat",3,296472
"Humans",2004,0,"Sprat",3,373008
"Humans",2005,0,"Sprat",3,397446
"Humans",2006,0,"Sprat",3,344385
"Humans",2007,0,"Sprat",3,383019
"Humans",2008,0,"Sprat",3,371268
"Humans",2009,0,"Sprat",3,401629
"Humans",2010,0,"Sprat",3,334173
"Humans",2011,0,"Sprat",3,256559
"Humans",2012,0,"Sprat",3,226649
"Humans",2013,0,"Sprat",3,271410
"Humans",2014,0,"Sprat",3,238589
"Humans",2015,0,"Sprat",3,245999
"Humans",2016,0,"Sprat",3,243038
"Humans",2017,0,"Sprat",3,282482
"Humans",2018,0,"Sprat",3,302904
"Humans",2019,0,"Sprat",3,311490
"Humans",2020,0,"Sprat",3,268360
"Humans",2021,0,"Sprat",3,284787
"Residual mortality",1974,-1,"Cod",1,0
"Residual mortality",2001,-1,"Cod",1,0
"Residual mortality",1988,-1,"Cod",1,0
"Residual mortality",1975,-1,"Cod",1,0
"Residual mortality",2002,-1,"Cod",1,0
"Residual mortality",1989,-1,"Cod",1,0
"Residual mortality",1976,-1,"Cod",1,0
"Residual mortality",2003,-1,"Cod",1,0
"Residual mortality",1990,-1,"Cod",1,0
"Residual mortality",1977,-1,"Cod",1,0
"Residual mortality",2004,-1,"Cod",1,0
"Residual mortality",1991,-1,"Cod",1,0
"Residual mortality",1978,-1,"Cod",1,0
"Residual mortality",2005,-1,"Cod",1,0
"Residual mortality",1992,-1,"Cod",1,0
"Residual mortality",1979,-1,"Cod",1,0
"Residual mortality",2006,-1,"Cod",1,0
"Residual mortality",1993,-1,"Cod",1,0
"Residual mortality",1980,-1,"Cod",1,0
"Residual mortality",2007,-1,"Cod",1,0
"Residual mortality",1994,-1,"Cod",1,0
"Residual mortality",1981,-1,"Cod",1,0
"Residual mortality",2008,-1,"Cod",1,0
"Residual mortality",1995,-1,"Cod",1,0
"Residual mortality",1982,-1,"Cod",1,0
"Residual mortality",2009,-1,"Cod",1,0
"Residual mortality",1996,-1,"Cod",1,0
"Residual mortality",1983,-1,"Cod",1,0
"Residual mortality",2010,-1,"Cod",1,0
"Residual mortality",1997,-1,"Cod",1,0
"Residual mortality",1984,-1,"Cod",1,0
"Residual mortality",2011,-1,"Cod",1,0
"Residual mortality",1998,-1,"Cod",1,0
"Residual mortality",1985,-1,"Cod",1,0
"Residual mortality",2012,-1,"Cod",1,0
"Residual mortality",1999,-1,"Cod",1,0
"Residual mortality",1986,-1,"Cod",1,0
"Residual mortality",2013,-1,"Cod",1,0
"Residual mortality",2000,-1,"Cod",1,0
"Residual mortality",1987,-1,"Cod",1,0
"Residual mortality",2014,-1,"Cod",1,0
"Residual mortality",2020,-1,"Cod",1,0
"Residual mortality",2019,-1,"Cod",1,0
"Residual mortality",2015,-1,"Cod",1,0
"Residual mortality",2021,-1,"Cod",1,0
"Residual mortality",2017,-1,"Cod",1,0
"Residual mortality",2016,-1,"Cod",1,0
"Residual mortality",2018,-1,"Cod",1,0
"Residual mortality",1976,-1,"Herring",2,181122.3907025
"Residual mortality",1974,-1,"Herring",2,217741.32362
"Residual mortality",1977,-1,"Herring",2,174368.9578625
"Residual mortality",2004,-1,"Herring",2,58617.947247825
"Residual mortality",1975,-1,"Herring",2,193079.49266375
"Residual mortality",1978,-1,"Herring",2,182663.235
"Residual mortality",2005,-1,"Herring",2,59256.051524875
"Residual mortality",2001,-1,"Herring",2,48887.428809575
"Residual mortality",1979,-1,"Herring",2,199412.55283125
"Residual mortality",2006,-1,"Herring",2,67572.49909575
"Residual mortality",2002,-1,"Herring",2,50578.1455299
"Residual mortality",1980,-1,"Herring",2,168232.1828
"Residual mortality",2007,-1,"Herring",2,74530.31115595
"Residual mortality",2003,-1,"Herring",2,64645.78104155
"Residual mortality",1981,-1,"Herring",2,169303.819905
"Residual mortality",2008,-1,"Herring",2,76546.5920547
"Residual mortality",1995,-1,"Herring",2,88743.84812975
"Residual mortality",1982,-1,"Herring",2,171435.4320525
"Residual mortality",2009,-1,"Herring",2,76914.594032275
"Residual mortality",1996,-1,"Herring",2,76691.32791825
"Residual mortality",1983,-1,"Herring",2,151671.313525
"Residual mortality",2010,-1,"Herring",2,70191.57536275
"Residual mortality",1997,-1,"Herring",2,62356.345922
"Residual mortality",1984,-1,"Herring",2,139685.34990625
"Residual mortality",2011,-1,"Herring",2,66965.336024425
"Residual mortality",1998,-1,"Herring",2,59988.59565025
"Residual mortality",1985,-1,"Herring",2,129908.976067
"Residual mortality",2012,-1,"Herring",2,78075.2622814
"Residual mortality",1999,-1,"Herring",2,53846.51740025
"Residual mortality",1986,-1,"Herring",2,107994.96411425
"Residual mortality",2013,-1,"Herring",2,82618.11864385
"Residual mortality",2000,-1,"Herring",2,54628.093968675
"Residual mortality",1987,-1,"Herring",2,120576.82566
"Residual mortality",2014,-1,"Herring",2,91022.23986475
"Residual mortality",1992,-1,"Herring",2,101522.99504225
"Residual mortality",1988,-1,"Herring",2,104483.59528725
"Residual mortality",2015,-1,"Herring",2,98924.638431525
"Residual mortality",1993,-1,"Herring",2,100061.32204
"Residual mortality",1989,-1,"Herring",2,92045.57486925
"Residual mortality",2016,-1,"Herring",2,80949.106249725
"Residual mortality",1994,-1,"Herring",2,96916.445338
"Residual mortality",1990,-1,"Herring",2,96201.51392375
"Residual mortality",2017,-1,"Herring",2,75727.381376725
"Residual mortality",2020,-1,"Herring",2,65859.4496539
"Residual mortality",1991,-1,"Herring",2,88885.05463525
"Residual mortality",2018,-1,"Herring",2,71378.101165375
"Residual mortality",2021,-1,"Herring",2,68560.441179875
"Residual mortality",2019,-1,"Herring",2,64015.799278275
"Residual mortality",1977,-1,"Sprat",3,326282.433365
"Residual mortality",1979,-1,"Sprat",3,164932.27598
"Residual mortality",1978,-1,"Sprat",3,230649.636335
"Residual mortality",1974,-1,"Sprat",3,302397.5057
"Residual mortality",1980,-1,"Sprat",3,155461.350215
"Residual mortality",1976,-1,"Sprat",3,357102.74517
"Residual mortality",1975,-1,"Sprat",3,296319.67228
"Residual mortality",1981,-1,"Sprat",3,178747.691965
"Residual mortality",2008,-1,"Sprat",3,349213.141953
"Residual mortality",1995,-1,"Sprat",3,608313.43325
"Residual mortality",1982,-1,"Sprat",3,233082.34026
"Residual mortality",2009,-1,"Sprat",3,364020.921109
"Residual mortality",1996,-1,"Sprat",3,579523.52607
"Residual mortality",1983,-1,"Sprat",3,293020.41475
"Residual mortality",2010,-1,"Sprat",3,293501.885681
"Residual mortality",1997,-1,"Sprat",3,529693.22597
"Residual mortality",1984,-1,"Sprat",3,298224.556315
"Residual mortality",2011,-1,"Sprat",3,246403.5044493
"Residual mortality",1998,-1,"Sprat",3,498251.1258075
"Residual mortality",1985,-1,"Sprat",3,283206.645515
"Residual mortality",2012,-1,"Sprat",3,242341.5116295
"Residual mortality",1999,-1,"Sprat",3,438626.1825935
"Residual mortality",1986,-1,"Sprat",3,253333.292865
"Residual mortality",2013,-1,"Sprat",3,235204.9727945
"Residual mortality",2000,-1,"Sprat",3,424768.205135
"Residual mortality",1987,-1,"Sprat",3,230693.034585
"Residual mortality",2014,-1,"Sprat",3,290058.6393575
"Residual mortality",2001,-1,"Sprat",3,367342.4541595
"Residual mortality",1988,-1,"Sprat",3,199882.11176
"Residual mortality",2015,-1,"Sprat",3,389803.013204
"Residual mortality",2002,-1,"Sprat",3,332826.5698005
"Residual mortality",1989,-1,"Sprat",3,222303.35443
"Residual mortality",2016,-1,"Sprat",3,369460.9942043
"Residual mortality",2003,-1,"Sprat",3,429652.8936825
"Residual mortality",1990,-1,"Sprat",3,272012.787185
"Residual mortality",2017,-1,"Sprat",3,344172.623404
"Residual mortality",2004,-1,"Sprat",3,487522.9972245
"Residual mortality",1991,-1,"Sprat",3,353619.76457
"Residual mortality",2018,-1,"Sprat",3,317360.511061
"Residual mortality",2005,-1,"Sprat",3,388839.0417315
"Residual mortality",1992,-1,"Sprat",3,440634.350045
"Residual mortality",2019,-1,"Sprat",3,296200.598493
"Residual mortality",2006,-1,"Sprat",3,345071.247058
"Residual mortality",1993,-1,"Sprat",3,405705.775645
"Residual mortality",2020,-1,"Sprat",3,322173.393437
"Residual mortality",2007,-1,"Sprat",3,324071.7536464
"Residual mortality",1994,-1,"Sprat",3,484205.66323
"Residual mortality",2021,-1,"Sprat",3,340072.5841065
